time	diversity	m_div	M_div
694.795736835	0.01	0	1
694.895755423	0.01	0	1
694.995774012	0.01	0	1
695.095792601	0.01	0	1
695.19581119	0.01	0	1
695.295829779	0.01	0	1
695.395848368	0.01	0	1
695.495866956	0.01	0	1
695.595885545	0.01	0	1
695.695904134	0.01	0	1
695.795922723	0.01	0	1
695.895941312	0.01	0	1
695.995959901	0.01	0	1
696.09597849	0.01	0	1
696.195997078	0.01	0	1
696.296015667	0.01	0	1
696.396034256	0.01	0	1
696.496052845	0.01	0	1
696.596071434	0.01	0	1
696.696090023	0.01	0	1
696.796108611	0.01	0	1
696.8961272	0.01	0	1
696.996145789	0.01	0	1
697.096164378	0.01	0	1
697.196182967	0.01	0	1
697.296201556	0.01	0	1
697.396220144	0.01	0	1
697.496238733	0.01	0	1
697.596257322	0.01	0	1
697.696275911	0.01	0	1
697.7962945	0.01	0	1
697.896313089	0.01	0	1
697.996331677	0.01	0	1
698.096350266	0.01	0	1
698.196368855	0.01	0	1
698.296387444	0.01	0	1
698.396406033	0.01	0	1
698.496424622	0.01	0	1
698.59644321	0.01	0	1
698.696461799	0.01	0	1
698.796480388	0.01	0	1
698.896498977	0.01	0	1
698.996517566	0.01	0	1
699.096536155	0.01	0	1
699.196554744	0.01	0	1
699.296573332	0.01	0	1
699.396591921	0.01	0	1
699.49661051	0.01	0	1
699.596629099	0.01	0	1
699.696647688	0.01	0	1
699.796666277	0.01	0	1
699.896684865	0.01	0	1
699.996703454	0.01	0	1
700.096722043	0.01	0	1
700.196740632	0.01	0	1
700.296759221	0.01	0	1
700.39677781	0.01	0	1
700.496796398	0.01	0	1
700.596814987	0.01	0	1
700.696833576	0.01	0	1
700.796852165	0.01	0	1
700.896870754	0.01	0	1
700.996889343	0.01	0	1
701.096907931	0.01	0	1
701.19692652	0.01	0	1
701.296945109	0.01	0	1
701.396963698	0.01	0	1
701.496982287	0.01	0	1
701.597000876	0.01	0	1
701.697019464	0.01	0	1
701.797038053	0.01	0	1
701.897056642	0.01	0	1
701.997075231	0.01	0	1
702.09709382	0.01	0	1
702.197112409	0.01	0	1
702.297130998	0.01	0	1
702.397149586	0.01	0	1
702.497168175	0.01	0	1
702.597186764	0.01	0	1
702.697205353	0.01	0	1
702.797223942	0.01	0	1
702.897242531	0.01	0	1
702.997261119	0.01	0	1
703.097279708	0.01	0	1
703.197298297	0.01	0	1
703.297316886	0.01	0	1
703.397335475	0.01	0	1
703.497354064	0.01	0	1
703.597372652	0.01	0	1
703.697391241	0.01	0	1
703.79740983	0.01	0	1
703.897428419	0.01	0	1
703.997447008	0.01	0	1
704.097465597	0.01	0	1
704.197484185	0.01	0	1
704.297502774	0.01	0	1
704.397521363	0.01	0	1
704.497539952	0.01	0	1
704.597558541	0.01	0	1
704.69757713	0.01	0	1
704.797595718	0.01	0	1
704.897614307	0.01	0	1
704.997632896	0.01	0	1
705.097651485	0.01	0	1
705.197670074	0.01	0	1
705.297688663	0.01	0	1
705.397707251	0.01	0	1
705.49772584	0.01	0	1
705.597744429	0.01	0	1
705.697763018	0.01	0	1
705.797781607	0.01	0	1
705.897800196	0.01	0	1
705.997818785	0.01	0	1
706.097837373	0.01	0	1
706.197855962	0.01	0	1
706.297874551	0.01	0	1
706.39789314	0.01	0	1
706.497911729	0.01	0	1
706.597930318	0.01	0	1
706.697948906	0.01	0	1
706.797967495	0.01	0	1
706.897986084	0.01	0	1
706.998004673	0.01	0	1
707.098023262	0.01	0	1
707.198041851	0.01	0	1
707.298060439	0.01	0	1
707.398079028	0.01	0	1
707.498097617	0.01	0	1
707.598116206	0.01	0	1
707.698134795	0.01	0	1
707.798153384	0.01	0	1
707.898171972	0.01	0	1
707.998190561	0.01	0	1
708.09820915	0.01	0	1
708.198227739	0.01	0	1
708.298246328	0.01	0	1
708.398264917	0.01	0	1
708.498283505	0.01	0	1
708.598302094	0.01	0	1
708.698320683	0.01	0	1
708.798339272	0.01	0	1
708.898357861	0.01	0	1
708.99837645	0.01	0	1
709.098395039	0.01	0	1
709.198413627	0.01	0	1
709.298432216	0.01	0	1
709.398450805	0.01	0	1
709.498469394	0.01	0	1
709.598487983	0.01	0	1
709.698506572	0.01	0	1
709.79852516	0.01	0	1
709.898543749	0.01	0	1
709.998562338	0.01	0	1
710.098580927	0.01	0	1
710.198599516	0.01	0	1
710.298618105	0.01	0	1
710.398636693	0.01	0	1
710.498655282	0.01	0	1
710.598673871	0.01	0	1
710.69869246	0.01	0	1
710.798711049	0.01	0	1
710.898729638	0.01	0	1
710.998748226	0.01	0	1
711.098766815	0.01	0	1
711.198785404	0.01	0	1
711.298803993	0.01	0	1
711.398822582	0.01	0	1
711.498841171	0.01	0	1
711.598859759	0.01	0	1
711.698878348	0.01	0	1
711.798896937	0.01	0	1
711.898915526	0.01	0	1
711.998934115	0.01	0	1
712.098952704	0.01	0	1
712.198971293	0.01	0	1
712.298989881	0.01	0	1
712.39900847	0.01	0	1
712.499027059	0.01	0	1
712.599045648	0.01	0	1
712.699064237	0.01	0	1
712.799082826	0.01	0	1
712.899101414	0.01	0	1
712.999120003	0.01	0	1
713.099138592	0.01	0	1
713.199157181	0.01	0	1
713.29917577	0.01	0	1
713.399194359	0.01	0	1
713.499212947	0.01	0	1
713.599231536	0.01	0	1
713.699250125	0.01	0	1
713.799268714	0.01	0	1
713.899287303	0.01	0	1
713.999305892	0.01	0	1
714.09932448	0.01	0	1
714.199343069	0.01	0	1
714.299361658	0.01	0	1
714.399380247	0.01	0	1
714.499398836	0.01	0	1
714.599417425	0.01	0	1
714.699436013	0.01	0	1
714.799454602	0.01	0	1
714.899473191	0.01	0	1
714.99949178	0.01	0	1
715.099510369	0.01	0	1
715.199528958	0.01	0	1
715.299547547	0.01	0	1
715.399566135	0.01	0	1
715.499584724	0.01	0	1
715.599603313	0.01	0	1
715.699621902	0.01	0	1
715.799640491	0.01	0	1
715.89965908	0.01	0	1
715.999677668	0.01	0	1
716.099696257	0.01	0	1
716.199714846	0.01	0	1
716.299733435	0.01	0	1
716.399752024	0.01	0	1
716.499770613	0.01	0	1
716.599789201	0.01	0	1
716.69980779	0.01	0	1
716.799826379	0.01	0	1
716.899844968	0.01	0	1
716.999863557	0.01	0	1
717.099882146	0.01	0	1
717.199900734	0.01	0	1
717.299919323	0.01	0	1
717.399937912	0.01	0	1
717.499956501	0.01	0	1
717.59997509	0.01	0	1
717.699993679	0.01	0	1
717.800012267	0.01	0	1
717.900030856	0.01	0	1
718.000049445	0.01	0	1
718.100068034	0.01	0	1
718.200086623	0.01	0	1
718.300105212	0.01	0	1
718.400123801	0.01	0	1
718.500142389	0.01	0	1
718.600160978	0.01	0	1
718.700179567	0.01	0	1
718.800198156	0.01	0	1
718.900216745	0.01	0	1
719.000235334	0.01	0	1
719.100253922	0.01	0	1
719.200272511	0.01	0	1
719.3002911	0.01	0	1
719.400309689	0.01	0	1
719.500328278	0.01	0	1
719.600346867	0.01	0	1
719.700365455	0.01	0	1
719.800384044	0.01	0	1
719.900402633	0.01	0	1
720.000421222	0.01	0	1
720.100439811	0.01	0	1
720.2004584	0.01	0	1
720.300476988	0.01	0	1
720.400495577	0.01	0	1
720.500514166	0.01	0	1
720.600532755	0.01	0	1
720.700551344	0.01	0	1
720.800569933	0.01	0	1
720.900588521	0.01	0	1
721.00060711	0.01	0	1
721.100625699	0.01	0	1
721.200644288	0.01	0	1
721.300662877	0.01	0	1
721.400681466	0.01	0	1
721.500700054	0.01	0	1
721.600718643	0.01	0	1
721.700737232	0.01	0	1
721.800755821	0.01	0	1
721.90077441	0.01	0	1
722.000792999	0.01	0	1
722.100811588	0.01	0	1
722.200830176	0.01	0	1
722.300848765	0.01	0	1
722.400867354	0.01	0	1
722.500885943	0.01	0	1
722.600904532	0.01	0	1
722.700923121	0.01	0	1
722.800941709	0.01	0	1
722.900960298	0.01	0	1
723.000978887	0.01	0	1
